Date,Prices

01/01/2008 5:47,370.0

01/02/2008 1:59,370.0

01/02/2008 21:35,370.0

01/03/2008 19:44,370.0

01/04/2008 15:02,370.0

01/07/2008 12:17,370.0

01/08/2008 5:09,370.0

01/08/2008 8:11,370.0

01/09/2008 23:18,370.0

1/17/2008 10:18,370.0

1/17/2008 22:21,370.0

1/18/2008 16:22,370.0

1/20/2008 15:30,370.0

1/21/2008 10:33,370.0

1/23/2008 21:31,370.0

1/24/2008 15:58,370.0

1/24/2008 17:54,370.0

1/27/2008 3:20,370.0

1/27/2008 12:54,370.0

1/29/2008 13:43,370.0

1/30/2008 17:38,370.0

1/31/2008 22:05,370.0

1/31/2008 22:44,370.0

02/01/2008 1:45,365.0

02/01/2008 9:50,365.0

02/01/2008 15:14,365.0

02/03/2008 19:46,365.0

02/04/2008 4:49,365.0

02/11/2008 5:14,365.0

2/13/2008 7:24,365.0

2/13/2008 10:45,365.0

2/13/2008 12:35,365.0

2/13/2008 18:43,365.0

2/15/2008 9:41,365.0

2/16/2008 1:21,365.0

2/16/2008 7:27,365.0

2/17/2008 10:01,365.0

2/17/2008 22:01,365.0

2/18/2008 15:10,365.0

2/18/2008 16:56,365.0

2/19/2008 6:58,365.0

2/20/2008 18:19,365.0

2/22/2008 16:11,365.0

2/23/2008 6:18,365.0

2/23/2008 19:08,365.0

2/24/2008 15:25,365.0

03/03/2008 0:21,360.0

03/03/2008 15:36,252.0

03/04/2008 10:49,360.0

03/05/2008 7:48,360.0

03/08/2008 22:26,252.0

03/09/2008 7:50,252.0

03/10/2008 13:39,360.0

03/10/2008 19:50,360.0

03/11/2008 2:46,252.0

03/12/2008 17:31,360.0

3/13/2008 7:06,360.0

3/16/2008 16:31,360.0

3/16/2008 18:44,360.0

3/18/2008 4:24,360.0

3/18/2008 4:46,360.0

3/19/2008 2:05,252.0

3/19/2008 6:02,252.0

3/24/2008 4:57,252.0

04/01/2008 18:55,355.0

04/02/2008 15:14,355.0

04/03/2008 13:50,355.0

04/05/2008 17:34,355.0

04/08/2008 7:29,355.0

04/08/2008 9:07,355.0

04/08/2008 19:10,355.0

04/10/2008 3:54,355.0

04/11/2008 10:56,355.0

4/13/2008 7:41,355.0

4/16/2008 11:57,355.0

4/17/2008 5:21,355.0

4/18/2008 6:22,355.0

4/20/2008 15:22,355.0

4/24/2008 22:48,355.0

4/25/2008 20:20,355.0

4/27/2008 14:53,355.0

05/01/2008 4:58,350.0

05/01/2008 16:33,350.0

05/02/2008 11:22,350.0

05/05/2008 14:38,350.0

05/08/2008 0:33,350.0

05/08/2008 9:33,350.0

05/09/2008 1:10,350.0

05/09/2008 2:18,350.0

05/11/2008 1:48,350.0

05/12/2008 17:18,350.0

5/15/2008 0:39,350.0

5/17/2008 22:10,350.0

5/19/2008 3:40,350.0

5/21/2008 23:11,350.0

5/22/2008 4:40,350.0

5/22/2008 10:28,350.0

5/24/2008 3:20,350.0

5/24/2008 15:36,350.0

5/25/2008 5:25,350.0

5/25/2008 5:38,350.0

5/25/2008 14:12,350.0

5/26/2008 16:46,350.0

5/28/2008 0:45,350.0

5/28/2008 9:05,350.0

5/29/2008 13:44,350.0

5/29/2008 20:50,350.0

5/30/2008 1:23,350.0

5/30/2008 3:25,350.0

5/31/2008 4:20,350.0

06/02/2008 18:13,nan

06/05/2008 4:13,345.0

06/09/2008 5:03,345.0

06/09/2008 11:03,345.0

06/09/2008 14:18,345.0

nan,345.0

06/12/2008 3:20,345.0

06/12/2008 8:54,345.0

6/15/2008 1:35,nan

6/16/2008 16:08,345.0

6/21/2008 15:05,nan

6/28/2008 5:01,345.0

6/30/2008 0:12,345.0

6/30/2008 4:05,345.0

6/30/2008 19:04,nan

07/01/2008 8:10,340.0

07/03/2008 6:35,340.0

07/03/2008 10:41,340.0

07/05/2008 9:15,340.0

07/07/2008 8:40,340.0

07/08/2008 13:29,340.0

07/09/2008 4:19,340.0

07/09/2008 15:36,340.0

07/10/2008 19:43,340.0

7/17/2008 21:56,340.0

7/18/2008 9:37,340.0

7/18/2008 10:56,340.0

7/20/2008 5:37,340.0

7/21/2008 2:22,340.0

7/24/2008 6:44,340.0

7/24/2008 17:20,340.0

7/27/2008 20:33,340.0

7/29/2008 0:52,340.0

7/31/2008 10:36,340.0

7/31/2008 20:55,340.0

08/01/2008 13:03,335.0

08/02/2008 5:06,335.0

08/05/2008 4:09,335.0

